"","CA_city_vec"
"1","Acampo"
"2","Acton"
"3","Adelanto"
"4","Adin"
"5","Agoura Hills"
"6","Agua Dulce"
"7","Aguanga"
"8","Ahwahnee"
"9","Alameda"
"10","Alamo"
"11","Albany"
"12","Alderpoint"
"13","Alhambra"
"14","Aliso Viejo"
"15","Alpine"
"16","Alta Loma"
"17","Altadena"
"18","Altaville"
"19","Alturas"
"20","Alviso"
"21","Amador City"
"22","American Canyon"
"23","Anaheim"
"24","Anaheim Hills"
"25","Anderson"
"26","Angels Camp"
"27","Angwin"
"28","Antelope"
"29","Antioch"
"30","Anza"
"31","Apple Valley"
"32","Applegate"
"33","Aptos"
"34","Arbuckle"
"35","Arcadia"
"36","Arcata"
"37","Arleta"
"38","Arnold"
"39","Arroyo Grande"
"40","Artesia"
"41","Atascadero"
"42","Atherton"
"43","Atwater"
"44","Auberry"
"45","Auburn"
"46","Avalon"
"47","Avila Beach"
"48","Azusa"
"49","Bakersfield"
"50","Balboa"
"51","Baldwin Park"
"52","Banning"
"53","Barstow"
"54","Bass Lake"
"55","Bay Point"
"56","Bayside"
"57","Baywood"
"58","Beale Afb"
"59","Beaumont"
"60","Bel Air"
"61","Bell Canyon"
"62","Bell Gardens"
"63","Bellflower"
"64","Belmont"
"65","Belvedere"
"66","Belvedere-Tiburon"
"67","Ben Lomond"
"68","Benicia"
"69","Berkeley"
"70","Bermuda Dunes"
"71","Bethel Island"
"72","Beverly Hills"
"73","Big Bear City"
"74","Big Bear Lake"
"75","Big Creek"
"76","Big Pine"
"77","Big River"
"78","Bishop"
"79","Blackhawk"
"80","Bloomington"
"81","Blue Jay"
"82","Blue Lake"
"83","Blythe"
"84","Bodega Bay"
"85","Bodfish"
"86","Bolinas"
"87","Bonita"
"88","Bonny Doon"
"89","Bonsall"
"90","Boulder Creek"
"91","Bowman"
"92","Boyes Hot Springs"
"93","Bradbury"
"94","Brawley"
"95","Brea"
"96","Brentwood"
"97","Bridgeport"
"98","Brisbane"
"99","Browns Valley"
"100","Buellton"
"101","Buena Park"
"102","Burbank"
"103","Burlingame"
"104","Burney"
"105","Byron"
"106","Calabasas"
"107","Calabasas Hills"
"108","Calexico"
"109","Caliente"
"110","California City"
"111","Calimesa"
"112","Calistoga"
"113","Callahan"
"114","Calpella"
"115","Camarillo"
"116","Cambria"
"117","Cameron Park"
"118","Camino"
"119","Camp Connell"
"120","Camp Nelson"
"121","Camp Pendleton"
"122","Campbell"
"123","Campo"
"124","Canoga Park"
"125","Canyon Country"
"126","Canyon Lake"
"127","Capistrano Beach"
"128","Capitola"
"129","Cardiff"
"130","Cardiff-By-The-Sea"
"131","Carlotta"
"132","Carlsbad"
"133","Carmel"
"134","Carmel Valley"
"135","Carmichael"
"136","Carnelian Bay"
"137","Carpinteria"
"138","Carson"
"139","Caspar"
"140","Castaic"
"141","Castro Valley"
"142","Cathedral City"
"143","Cayucos"
"144","Cazadero"
"145","Cedar Glen"
"146","Cedar Ridge"
"147","Cedarpines Park"
"148","Century City"
"149","Ceres"
"150","Cerritos"
"151","Chatsworth"
"152","Cherry Valley"
"153","Chester"
"154","Chico"
"155","Chilcoot"
"156","Chino"
"157","Chino Hills"
"158","Chula Vista"
"159","Citrus Heights"
"160","City of Industry"
"161","Claremont"
"162","Clarksburg"
"163","Clayton"
"164","Clearlake"
"165","Clements"
"166","Cloverdale"
"167","Clovis"
"168","Coachella"
"169","Coalinga"
"170","Coarsegold"
"171","Cobb"
"172","Colton"
"173","Colusa"
"174","Commerce"
"175","Comptche"
"176","Compton"
"177","Concord"
"178","Cool"
"179","Copperopolis"
"180","Cornell"
"181","Corning"
"182","Corona"
"183","Corona Del Mar"
"184","Coronado"
"185","Corte Madera"
"186","Costa Mesa"
"187","Cotati"
"188","Coto De Caza"
"189","Cottonwood"
"190","Coulterville"
"191","Courtland"
"192","Covina"
"193","Coyote"
"194","Crescent City"
"195","Crestline"
"196","Creston"
"197","Crowley Lake"
"198","Culver City"
"199","Cupertino"
"200","Cutler"
"201","Cypress"
"202","Daly City"
"203","Dana Point"
"204","Danville"
"205","Davenport"
"206","Davis"
"207","Del Mar"
"208","Del Rey Oaks"
"209","Delano"
"210","Denair"
"211","Descanso"
"212","Desert Center"
"213","Desert Hot Springs"
"214","Diablo"
"215","Diamond Bar"
"216","Diamond Springs"
"217","Dinuba"
"218","Discovery Bay"
"219","Dixon"
"220","Dos Palos"
"221","Douglas City"
"222","Dove Canyon"
"223","Downey"
"224","Downieville"
"225","Duarte"
"226","Dublin"
"227","Duncans Mills"
"228","Dunsmuir"
"229","Durham"
"230","Dutch Flat"
"231","Eagle Rock"
"232","Earp"
"233","East Palo Alto"
"234","Edwards"
"235","Edwards Afb"
"236","El Cajon"
"237","El Centro"
"238","El Cerrito"
"239","El Dorado"
"240","El Dorado Hills"
"241","El Granada"
"242","El Macero"
"243","El Monte"
"244","El Portal"
"245","El Segundo"
"246","El Sobrante"
"247","El Toro"
"248","Elk"
"249","Elk Grove"
"250","Elverta"
"251","Emerald Hills"
"252","Emeryville"
"253","Encinitas"
"254","Encino"
"255","Escalon"
"256","Escondido"
"257","Etna"
"258","Eureka"
"259","Exeter"
"260","Fair Oaks"
"261","Fairfax"
"262","Fairfield"
"263","Fallbrook"
"264","Felton"
"265","Ferndale"
"266","Fiddletown"
"267","Fieldbrook"
"268","Fields Landing"
"269","Fillmore"
"270","Firebaugh"
"271","Flintridge"
"272","Folsom"
"273","Fontana"
"274","Foothill Ranch"
"275","Forest Falls"
"276","Forest Knolls"
"277","Forest Ranch"
"278","Foresthill"
"279","Forestville"
"280","Fort Bragg"
"281","Fort Hunter Liggett"
"282","Fort Irwin"
"283","Fortuna"
"284","Foster City"
"285","Fountain Valley"
"286","Fowler"
"287","Frazier Park"
"288","Freedom"
"289","Fremont"
"290","French Camp"
"291","Fresno"
"292","Friant"
"293","Fullerton"
"294","Galt"
"295","Garberville"
"296","Garden Grove"
"297","Garden Valley"
"298","Gardena"
"299","Georgetown"
"300","Geyserville"
"301","Gilroy"
"302","Glen Ellen"
"303","Glendale"
"304","Glendora"
"305","Glenhaven"
"306","Gold River"
"307","Goleta"
"308","Gonzales"
"309","Graeagle"
"310","Granada Hills"
"311","Grand Terrace"
"312","Granite Bay"
"313","Grass Valley"
"314","Graton"
"315","Greenbrae"
"316","Greenfield"
"317","Greenville"
"318","Greenwood"
"319","Grenada"
"320","Gridley"
"321","Grizzly Flats"
"322","Groveland"
"323","Grover Beach"
"324","Grover City"
"325","Guadalupe"
"326","Gualala"
"327","Guerneville"
"328","Gustine"
"329","Hacienda Heights"
"330","Half Moon Bay"
"331","Hanford"
"332","Harbor City"
"333","Havilah"
"334","Hawthorne"
"335","Hayfork"
"336","Hayward"
"337","Healdsburg"
"338","Helendale"
"339","Hemet"
"340","Herald"
"341","Hercules"
"342","Hermosa Beach"
"343","Hesperia"
"344","Hidden Hills"
"345","Hidden Valley Lake"
"346","Highland"
"347","Hillsborough"
"348","Hilmar"
"349","Hollister"
"350","Hollyglen"
"351","Hollywood"
"352","Holtville"
"353","Homeland"
"354","Homewood"
"355","Honeydew"
"356","Hood"
"357","Hopland"
"358","Hornbrook"
"359","Horse Creek"
"360","Hughson"
"361","Huntington Beach"
"362","Huntington Park"
"363","Hydesville"
"364","Idyllwild"
"365","Igo"
"366","Imperial"
