"","PA_city_vec"
"1"," Abington "
"2"," Albion "
"3"," Alburtis "
"4"," Aleppo "
"5"," Aliquippa "
"6"," Allentown "
"7"," Allenwood "
"8"," Allison Park "
"9"," Altoona "
"10"," Ambler "
"11"," Ambridge "
"12"," Amity "
"13"," Annville "
"14"," Apollo "
"15"," Archbald "
"16"," Ardmore "
"17"," Arnold "
"18"," Ashland "
"19"," Aspinwall "
"20"," Aston "
"21"," Atglen "
"22"," Athens "
"23"," Audubon "
"24"," Avondale "
"25"," Baden "
"26"," Bala Cynwyd "
"27"," Bangor "
"28"," Barnesboro "
"29"," Barnesville "
"30"," Barto "
"31"," Bartonsville "
"32"," Bath "
"33"," Bear Creek "
"34"," Beaver "
"35"," Beaver Falls "
"36"," Beaver Meadows "
"37"," Bechtelsville "
"38"," Bedford "
"39"," Belle Vernon "
"40"," Bellefonte "
"41"," Bellevue "
"42"," Bensalem "
"43"," Benton "
"44"," Berlin "
"45"," Berwick "
"46"," Berwyn "
"47"," Bethel Park "
"48"," Bethlehem "
"49"," Biglerville "
"50"," Birchrunville "
"51"," Birdsboro "
"52"," Blairsville "
"53"," Blakely "
"54"," Blandon "
"55"," Blawnox "
"56"," Bloomsburg "
"57"," Blossburg "
"58"," Blue Bell "
"59"," Boalsburg "
"60"," Boiling Springs "
"61"," Boothwyn "
"62"," Boyers "
"63"," Boyertown "
"64"," Brackenridge "
"65"," Braddock "
"66"," Bradford "
"67"," Bradford Woods "
"68"," Breinigsville "
"69"," Bridgeport "
"70"," Bridgeville "
"71"," Bristol "
"72"," Broad Axe "
"73"," Brockway "
"74"," Brodheadsville "
"75"," Brookhaven "
"76"," Brookville "
"77"," Broomall "
"78"," Brownsville "
"79"," Bryn Athyn "
"80"," Bryn Mawr "
"81"," Buckingham "
"82"," Buckingham Township "
"83"," Bushkill "
"84"," Butler "
"85"," Cabot "
"86"," California "
"87"," Camp Hill "
"88"," Canonsburg "
"89"," Carbondale "
"90"," Carlisle "
"91"," Carmichaels "
"92"," Carnegie "
"93"," Carrolltown "
"94"," Cashtown "
"95"," Catasauqua "
"96"," Catawissa "
"97"," Cedars "
"98"," Center Valley "
"99"," Central City "
"100"," Chadds Ford "
"101"," Chalfont "
"102"," Chambersburg "
"103"," Champion "
"104"," Charleroi "
"105"," Cheltenham "
"106"," Chester "
"107"," Chester Springs "
"108"," Chester Township "
"109"," Chesterbrook "
"110"," Cheswick "
"111"," Chinchilla "
"112"," Christiana "
"113"," Churchville "
"114"," Clairton "
"115"," Claridge "
"116"," Clarion "
"117"," Clarks Green "
"118"," Clarks Summit "
"119"," Claysville "
"120"," Clearfield "
"121"," Clifford "
"122"," Clinton "
"123"," Coal Township "
"124"," Coatesville "
"125"," Cochranville "
"126"," Cogan Station "
"127"," Collegeville "
"128"," Collingdale "
"129"," Colmar "
"130"," Columbia "
"131"," Concordville "
"132"," Conestoga "
"133"," Conneaut Lake "
"134"," Conneautville "
"135"," Connellsville "
"136"," Conshohocken "
"137"," Conway "
"138"," Conyngham "
"139"," Coopersburg "
"140"," Coplay "
"141"," Coraopolis "
"142"," Cornwall "
"143"," Corry "
"144"," Coudersport "
"145"," Covington "
"146"," Crafton "
"147"," Cranberry "
"148"," Cranberry Township "
"149"," Cranberry Twp "
"150"," Creamery "
"151"," Cresco "
"152"," Cresson "
"153"," Croydon "
"154"," Crum Lynne "
"155"," Dallas "
"156"," Dallastown "
"157"," Dalton "
"158"," Damascus "
"159"," Danboro "
"160"," Danielsville "
"161"," Danville "
"162"," Darby "
"163"," Davidsville "
"164"," Delmont "
"165"," Derry "
"166"," Devon "
"167"," Dickson City "
"168"," Dillsburg "
"169"," Dingman's Ferry "
"170"," Donora "
"171"," Douglassville "
"172"," Downingtown "
"173"," Doylestown "
"174"," Dravosburg "
"175"," Dresher "
"176"," Drexel Hill "
"177"," Drums "
"178"," Du Bois "
"179"," Dublin "
"180"," Duncannon "
"181"," Duncansville "
"182"," Dunmore "
"183"," Dupont "
"184"," Durham "
"185"," Dushore "
"186"," Eagles Mere "
"187"," Eagleville "
"188"," East Berlin "
"189"," East Fallowfield "
"190"," East Greenville "
"191"," East McKeesport "
"192"," East Norriton "
"193"," East Pittsburgh "
"194"," East Stroudsburg "
"195"," Easton "
"196"," Ebensburg "
"197"," Eddystone "
"198"," Edgemont "
"199"," Edgewood "
"200"," Edinboro "
"201"," Eighty Four "
"202"," Elderton "
"203"," Elgin "
"204"," Elizabeth "
"205"," Elizabethtown "
"206"," Elizabethville "
"207"," Elkins Park "
"208"," Elliottsburg "
"209"," Ellwood City "
"210"," Elysburg "
"211"," Emigsville "
"212"," Emmaus "
"213"," Emporium "
"214"," Enola "
"215"," Ephrata "
"216"," Erdenheim "
"217"," Erie "
"218"," Erwinna "
"219"," Essington "
"220"," Etters "
"221"," Evans City "
"222"," Everett "
"223"," Exeter "
"224"," Export "
"225"," Exton "
"226"," Eynon "
"227"," Fairchance "
"228"," Fairfield "
"229"," Fairless Hills "
"230"," Fairview "
"231"," Fairview Village "
"232"," Fayetteville "
"233"," Feasterville "
"234"," Feasterville Trevose "
"235"," Finleyville "
"236"," Fleetwood "
"237"," Flourtown "
"238"," Fogelsville "
"239"," Folsom "
"240"," Ford City "
"241"," Forest City "
"242"," Fort Washington "
"243"," Forty Fort "
"244"," Fountainville "
"245"," Frackville "
"246"," Franklin "
"247"," Franklin Center "
"248"," Frazer "
"249"," Fredericktown "
"250"," Freedom "
"251"," Freeland "
"252"," Furlong "
"253"," Galeton "
"254"," Garnet Valley "
"255"," Gettysburg "
"256"," Gibsonia "
"257"," Gilbertsville "
"258"," Girard "
"259"," Girardville "
"260"," Gladwyne "
"261"," Glassport "
"262"," Glen Mills "
"263"," Glen Riddle "
"264"," Glen Rock "
"265"," Glenmoore "
"266"," Glenolden "
"267"," Glenshaw "
"268"," Glenside "
"269"," Gordon "
"270"," Gouldsboro "
"271"," Grantham "
"272"," Graysville "
"273"," Great Bend "
"274"," Green Lane "
"275"," Green Tree "
"276"," Greencastle "
"277"," Greensburg "
"278"," Greenville "
"279"," Grove City "
"280"," Gulph Mills "
"281"," Gwynedd "
"282"," Gwynedd Valley "
"283"," Halifax "
"284"," Hallam "
"285"," Hallstead "
"286"," Hamburg "
"287"," Hamlin "
"288"," Hanover "
"289"," Hanover Township "
"290"," Harleysville "
"291"," Harmony "
"292"," Harrisburg "
"293"," Harrison City "
"294"," Harveys Lake "
"295"," Hatboro "
"296"," Hatfield "
"297"," Haverford "
"298"," Havertown "
"299"," Hawley "
"300"," Hazle Township "
"301"," Hazleton "
"302"," Hellertown "
"303"," Henryville "
"304"," Hermitage "
"305"," Herndon "
"306"," Hershey "
"307"," Hickory "
"308"," Holland "
"309"," Hollidaysburg "
"310"," Holmes "
"311"," Holtwood "
"312"," Homestead "
"313"," Honesdale "
"314"," Honey Brook "
"315"," Hopwood "
"316"," Horsham "
"317"," Houston "
"318"," Houtzdale "
"319"," Hughesville "
"320"," Hummelstown "
"321"," Huntingdon "
"322"," Huntingdon Valley "
"323"," Indiana "
"324"," Indianola "
"325"," Ingomar "
"326"," Irwin "
"327"," Ivyland "
"328"," Jamison "
"329"," Jeannette "
"330"," Jefferson "
"331"," Jefferson Hills "
"332"," Jeffersonville "
"333"," Jenkintown "
"334"," Jersey Shore "
"335"," Jessup "
"336"," Jim Thorpe "
"337"," Johnstown "
"338"," Jones Mills "
"339"," Jonestown "
"340"," Kane "
"341"," Kempton "
"342"," Kennett Square "
"343"," Kimberton "
"344"," King Of Prussia "
"345"," Kingsley "
"346"," Kingston "
"347"," Kintnersville "
"348"," Kittanning "
"349"," Knoxville "
"350"," Kulpmont "
"351"," Kulpsville "
"352"," Kutztown "
"353"," Lafayette Hill "
"354"," Lake Ariel "
"355"," Lake City "
"356"," Lake Harmony "
"357"," Lake Winola "
"358"," Lakeville "
"359"," Lancaster "
"360"," Landenberg "
"361"," Landisburg "
"362"," Landisville "
"363"," Langhorne "
"364"," Lansdale "
"365"," Lansdowne "
"366"," Lansford "
"367"," Latrobe "
"368"," Laughlintown "
"369"," Laverock "
"370"," Lawrence "
"371"," Lebanon "
"372"," Lederach "
"373"," Leechburg "
"374"," Leesport "
"375"," Lehigh Valley "
"376"," Lehighton "
"377"," Lemont "
"378"," Lemoyne "
"379"," Leola "
"380"," Lester "
"381"," Levittown "
"382"," Lewisberry "
"383"," Lewisburg "
"384"," Lewistown "
"385"," Library "
"386"," Ligonier "
"387"," Lima "
"388"," Limerick "
"389"," Lincoln University "
"390"," Line Lexington "
"391"," Linwood "
"392"," Lionville "
"393"," Lititz "
"394"," Little Meadows "
"395"," Littlestown "
"396"," Liverpool "
"397"," Llewellyn "
"398"," Lock Haven "
"399"," Lower Burrell "
"400"," Lower Gwynedd "
"401"," Lyndora "
"402"," Macungie "
"403"," Mahanoy City "
"404"," Malvern "
"405"," Manchester "
"406"," Manheim "
"407"," Manns Choice "
"408"," Mansfield "
"409"," Maple Glen "
"410"," Marietta "
"411"," Mars "
"412"," Marshalls Creek "
"413"," Martinsburg "
"414"," Marysville "
"415"," McConnellsburg "
"416"," McDonald "
"417"," McKean "
"418"," McKees Rocks "
"419"," McKeesport "
"420"," McMurray "
"421"," Meadow Lands "
"422"," Meadowbrook "
"423"," Meadville "
"424"," Mechanicsburg "
"425"," Media "
"426"," Mehoopany "
"427"," Melrose Park "
"428"," Mercer "
"429"," Mercersburg "
"430"," Merion "
"431"," Merion Station "
"432"," Middleburg "
"433"," Middlebury Center "
"434"," Middleport "
"435"," Middletown "
"436"," Midland "
"437"," Mifflinburg "
"438"," Mifflintown "
"439"," Milford "
"440"," Mill Hall "
"441"," Millersburg "
"442"," Millerstown "
"443"," Millersville "
"444"," Millheim "
"445"," Millvale "
"446"," Millville "
"447"," Milnesville "
"448"," Milton "
"449"," Minersville "
"450"," Miquon "
"451"," Mohnton "
"452"," Mohrsville "
"453"," Monaca "
"454"," Monessen "
"455"," Monongahela "
"456"," Monroeville "
"457"," Montgomery "
"458"," Montgomeryville "
"459"," Montoursville "
"460"," Montrose "
"461"," Moon Township "
"462"," Moon Twp "
"463"," Moosic "
"464"," Morgantown "
"465"," Morrisville "
"466"," Morton "
"467"," Moscow "
"468"," Mount Carmel "
"469"," Mount Joy "
"470"," Mount Lebanon "
"471"," Mount Morris "
"472"," Mount Pleasant "
"473"," Mount Pocono "
"474"," Mountaintop "
"475"," Mountville "
"476"," Moylan "
"477"," Muncy "
"478"," Munhall "
"479"," Murrysville "
"480"," Myerstown "
"481"," Narberth "
"482"," Natrona Heights "
"483"," Nazareth "
"484"," Needmore "
"485"," New Alexandria "
"486"," New Berlin "
"487"," New Bethlehem "
"488"," New Bloomfield "
"489"," New Brighton "
"490"," New Britain "
"491"," New Castle "
"492"," New Cumberland "
"493"," New Enterprise "
"494"," New Florence "
"495"," New Freedom "
"496"," New Holland "
"497"," New Hope "
"498"," New Kensington "
"499"," New London "
"500"," New Milford "
"501"," New Oxford "
"502"," New Ringgold "
"503"," New Stanton "
"504"," New Tripoli "
"505"," New Wilmington "
"506"," Newport "
"507"," Newtown "
"508"," Newtown Square "
"509"," Newville "
"510"," Nicholson "
"511"," Norristown "
"512"," North Appollo "
"513"," North East "
"514"," North Huntingdon "
"515"," North Versailles "
"516"," North Wales "
"517"," Northampton "
"518"," Northern Cambria "
"519"," Northumberland "
"520"," Norwood "
"521"," Nuangola "
"522"," Oakdale "
"523"," Oakmont "
"524"," Oaks "
"525"," Oil City "
"526"," Old Forge "
"527"," Oley "
"528"," Oliveburg "
"529"," Olyphant "
"530"," Orefield "
"531"," Oreland "
"532"," Orwigsburg "
"533"," Ottsville "
"534"," Oxford "
"535"," Palm "
"536"," Palmerton "
"537"," Palmyra "
"538"," Paoli "
"539"," Parkesburg "
"540"," Parkside "
"541"," Paxtonville "
"542"," Peckville "
"543"," Pen Argyl "
"544"," Penllyn "
"545"," Penn Valley "
"546"," Penndel "
"547"," Penns Park "
"548"," Pennsburg "
"549"," Pequea "
"550"," Perkasie "
"551"," Perkiomenville "
"552"," Philadelphia "
"553"," Philipsburg "
"554"," Phoenixville "
"555"," Pine Grove "
"556"," Pine Grove Mills "
"557"," Pipersville "
"558"," Pitcairn "
"559"," Pittsburgh "
"560"," Pittston "
"561"," Plains "
"562"," Pleasant Hills "
"563"," Plumsteadville "
"564"," Plymouth "
"565"," Plymouth Meeting "
"566"," Pocono Lake "
"567"," Pocono Pines "
"568"," Pocono Summit "
"569"," Pocopson "
"570"," Port Matilda "
"571"," Port Royal "
"572"," Portersville "
"573"," Pottstown "
"574"," Pottsville "
"575"," Presto "
"576"," Prospect "
"577"," Prospect Park "
"578"," Punxsutawney "
"579"," Quakertown "
"580"," Quarryville "
"581"," Radnor "
"582"," Rankin "
"583"," Reading "
"584"," Red Lion "
"585"," Reedsville "
"586"," Renfrew "
"587"," Reynoldsville "
"588"," Richboro "
"589"," Ridgway "
"590"," Ridley Park "
"591"," Riegelsville "
"592"," Rillton "
"593"," Rimersburg "
"594"," Ringtown "
"595"," Roaring Spring "
"596"," Robesonia "
"597"," Rochester "
"598"," Rockledge "
"599"," Rose Valley "
"600"," Rosemont "
"601"," Roslyn "
"602"," Royersford "
"603"," Ruffs Dale "
"604"," Rural Valley "
"605"," Rydal "
"606"," Saegertown "
"607"," Salix "
"608"," Sanatoga "
"609"," Sarver "
"610"," Saxonburg "
"611"," Saylorsburg "
"612"," Sayre "
"613"," Schnecksville "
"614"," Schuylkill Haven "
"615"," Schwenksville "
"616"," Sciota "
"617"," Scott Township "
"618"," Scottdale "
"619"," Scranton "
"620"," Secane "
"621"," Selinsgrove "
"622"," Sellersville "
"623"," Seven Fields "
"624"," Sewickley "
"625"," Shadyside "
"626"," Shamokin "
"627"," Sharon "
"628"," Sharon Hill "
"629"," Shavertown "
"630"," Shawnee-On-Delaware "
"631"," Sheffield "
"632"," Shenandoah "
"633"," Shickshinny "
